"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"21" 6.14490511507735 6.07454241022302 5.91137119328534 6.01410232499978 5.89208607687115 6.04592802168184 5.91193515446568 6.13261447085651 6.17693513580388 5.87824857032724 6.08589680008375 6.16007195614786 6.06919044507174 6.05453507999708 6.26690625486572 6.27084264779538 6.13041979920334 6.03771467721272 5.87201194828064 6.31476425894331 6.07348904435152 6.10225841260687 5.83580187122068 5.86137311069307 6.11557475972268 6.21380514909844 6.04926642080725 5.87568908854986 6.14427020742763 6.178100700265 5.97547508487696 6.01719593906176 5.79216982935813 6.16724258125757 6.08199852398393 6.10683971485317 5.90645301517664 6.07669957382886 5.87913435988827 6.02069916200622 6.13276193442392 6.08213354624165 6.01189284783286 6.02413843474534 6.11992682114945
"22" 5.9648206535388 5.87968427967004 5.84004247338942 5.92063972645817 5.94095014022974 5.99564595052334 6.21786601261977 5.79207715571229 5.99256213229309 5.8966051896314 6.05596919277704 5.96624436548565 5.86302929807976 5.83809216074101 6.01902236633014 6.00471449009006 5.94582187524323 5.79936680521076 5.84021846226393 5.86274515158938 5.98946999254243 6.06898960518127 6.0166470358876 5.92196667273604 6.04727654718035 5.87440584457834 6.24514340479293 6.1888154844939 5.94866521584779 5.75761902086527 5.94748054743953 6.11021097095212 6.0436231744007 6.00408592892476 5.96304189363749 5.98515579437799 6.07999736924743 5.75718507322077 6.11437374476544 6.04712288093752 6.17428101797262 5.92396109231188 5.9389228560351 5.86331801606236 5.92482789356935
"23" 8.92150155787834 8.85602099300548 8.62547600174464 8.78648671954867 9.13559244734282 9.17657783135606 9.32524970762481 9.34813983452642 8.99534745872561 8.93750107333319 8.85990544799769 9.19124634885158 9.16806803156042 9.28804834704598 8.84676801241131 8.75237032864241 9.16688429527591 8.89294931999866 9.26566797813092 9.2670784010833 9.56409179456412 9.4824323143429 9.40577359472802 8.92438679949102 9.13965594665985 8.8175768749814 9.09019353865658 8.94095829321649 8.91351954387617 8.86805111446982 9.00398554507482 9.11318862820583 9.09856006135985 9.18608051465297 8.8225113232268 8.85660064986872 8.72953559081123 9.11576475298176 8.99101053571864 8.6451560185168 9.09326652767112 9.0929927450217 8.92668151389386 9.03923143342326 8.82171631687517
"24" 5.99788946652377 6.13627828659941 5.84291095874953 6.02951178038717 5.95799754841101 6.14125797682086 5.82687232139498 5.69502351193031 5.99035001896478 5.99145827336879 5.80146857845906 5.95275378378802 5.76497914474626 5.84715213425346 5.78854776629596 5.87500451859269 5.91627917439873 5.90954892512167 5.89303981545696 5.76464303514385 5.8171728980846 6.00330954533746 5.92392623415172 6.20122860948893 5.82717696842796 5.85973879140545 5.83751111778826 6.2228485108079 5.75031441071617 6.01156146030939 5.72688659499802 5.76258867141194 5.82143685837492 6.01304927270586 5.73501176533233 6.10663944997201 5.89299085037612 5.85597218763878 5.83319571813242 6.02388110404159 5.56039605672508 5.77996195139933 5.98748487537399 5.89987011679325 5.92251869856526
"25" 5.93980449147248 5.85148733575035 6.02136425880829 5.71947466075157 5.88105730916908 6.00712017844342 5.86568141733309 5.88939930598897 6.06428934848925 6.09130520659602 6.11570533366432 5.84029367368708 5.78735221404005 6.06919852019994 5.94994042478721 5.83969451043574 6.05160747018511 5.99315309013329 5.85072150739782 5.84595134977907 5.96879651795631 5.77389980783827 5.93679215142605 6.05514178572469 6.08680837134702 6.02041156949937 5.94143270217522 6.14004186931164 5.93810099014853 5.98161160186661 6.03787715196877 6.01542335891619 6.15764613990099 6.0183802663499 5.75817791064838 5.92974901734845 5.77149787374587 5.90694397412949 5.99684116153283 5.90067319152063 6.08915732736323 5.92746708649553 5.86880452886968 5.8883737663573 5.9503116174836
"26" 6.35536206267733 6.21133872318143 6.42034143083916 6.37404063703541 6.2019434269793 6.10280320727794 6.51531122073235 6.5554939181916 6.17196247696388 6.83284001509622 6.50305512102053 6.66986471951261 6.389299485178 6.44947906374866 6.35240304659229 6.30741911800289 6.56758402062469 6.46961472295924 6.26161392155185 6.2603452789003 6.41569692253552 6.26751843189772 6.10715929211674 6.37943311184338 6.32334041884717 6.22886951185181 6.52347247511842 6.87801645161064 6.42097924442681 6.4377096627518 6.21044853317582 6.27827457176754 6.26743766555955 6.42138496677509 6.60649963942734 6.4465063721905 6.47083144798285 6.18686727089418 6.31293147904818 6.2856699818668 6.57375924732251 6.17462673694204 6.66582336056179 6.33326649858931 6.50941721443879
"27" 6.17087212889562 5.93955828476013 6.05647371356814 6.3174583213584 6.12949876984195 6.28368707358077 5.96011619918291 6.12584926278811 6.15198865044797 5.981199269995 6.19289973589983 6.1670797529803 6.09808773853822 6.2637601921724 6.28569556227162 6.17369923807763 5.8375351397913 6.28239372477193 5.92737875954956 6.054866757176 6.0040306279631 6.03419881691908 5.92009156258257 6.11602013464492 5.95736438912996 5.9716670534514 6.14563771424625 6.1211908136881 6.06424877708104 6.08591618650293 6.20599479720323 6.23291173452694 5.85371609310587 6.03568366243671 6.0903357804856 6.02133821198598 6.1795670724888 6.1527580222892 5.95835687295387 6.14777295503839 6.19447808027562 6.14556595800727 6.04365328359352 6.23856290898306 6.13588896115672
"28" 8.22953859893584 8.60942047631886 8.05509484928797 8.12015089140541 8.56906480382658 8.14141918692165 8.16562391261026 8.87662098762885 8.467998591375 8.22733880170022 8.52231304852578 8.08846598216138 8.55075275317158 8.26182416150535 8.1584616640599 8.23198080854869 8.44682635295711 8.3972206756788 8.57591973015663 7.86729579795256 8.35905519013649 8.24153487896445 8.29103297320052 8.10128558961906 8.09281278601963 8.22203503208681 8.06652146048038 8.00958422253571 8.04680425773374 8.2832807185171 8.51797523726337 8.08841173602504 8.20093328359742 8.42085905481852 8.07492934776516 8.11292737375141 7.83178805711559 8.13704642701885 8.60814562097919 7.97332326251535 8.16812896020423 8.351994827106 8.03974843693462 8.23825209009029 8.57612720232993
"29" 6.14880006242589 6.15883269155939 6.04218204094588 6.19588094010496 6.34265379898252 6.20648893941235 6.38195461902189 6.18750716549114 6.21680256828524 6.36559355642515 6.16855616529433 6.47045398266178 6.2280773611617 6.31205839513722 6.40282686467752 6.27242829342735 6.30248535328078 6.21815363956411 6.12834148518898 6.1960492308162 6.42054304404916 6.55725201746633 6.38803981076647 6.27937093039175 6.39563744949605 6.15793830976534 6.20497977879293 6.24244250999733 6.28713977429333 6.18738342869496 6.2093700220626 6.28365589055592 6.14104660088231 6.04036547908542 6.24608177235539 6.19789282844829 6.34351020273735 6.18296412204686 6.27329791637642 6.29742611199886 6.33408823863139 6.47930129145833 6.19911782209648 6.05711870571468 6.08564163826366
"30" 6.25374005246239 6.13491539159601 6.44925459336747 6.23455922276148 6.36309564124096 6.33262113741092 6.57530194266667 6.45886365000161 6.35709159956977 6.52990354542094 6.18916145597211 6.63533054038108 6.34235975715604 6.45589851582661 6.42794225049948 6.53881727998946 6.67876920905094 6.44479415761784 6.43528307542469 6.47864487812153 6.37351436402161 6.77491766366832 6.28125654443743 6.44808915617457 6.41802231483071 6.29931799571858 6.67266298754141 6.7811290698448 6.45886461316514 6.36798548201862 6.3783444287611 6.52770057690242 6.31083855171681 6.31737068309327 6.28864336198394 6.25507676067884 6.37517237776228 6.26931136973264 6.45855538499669 6.33411397784376 6.40131052087997 6.42055047555688 6.37261142954765 6.57427603846238 6.4172746741023
