"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
"11" 6.00622586192409 5.88823909245313 6.07980508165653 6.25505947160372 6.0828524537747 5.87046659419951 5.82650525751562 5.83268759906142 6.02307762753735 5.98995313931172 5.98996789757008 6.07512406585852 6.11191754826417 5.96667865019527 6.06556492996656 6.03174871327205 5.91659369015411 5.82171890162498 5.728704030811 6.04687484985374 5.90042690094377 5.91598765180834 6.03910498307019 6.02775558337011 5.86783441950799 5.89411703938921 5.89940314444723 5.7850239475477 5.84585718312791 6.02118044280569 6.02617570675804 5.92265328039037 5.87533139616698 5.88702777667325 5.99589519134105 5.97511921143439 6.02701799503459 6.05872214385071 6.00078842307683 6.06148408871503 6.09444138768861 5.97220152725102 5.99122267823375 6.04885823014718 6.10907250301182 5.83345131174189 6.10042386387579 6.00663428070223 6.02191237028535 6.07915086403687 5.91819068369106 5.90619620509213 6.17077990071273 6.05565600497076 5.88529116083335 6.2549143965708 5.90303702463389 6.1928295583833 5.93240649347699 6.03655815700446
"12" 6.19343437449261 5.90964236432165 5.94503874108049 5.79528187638925 5.99485356832203 6.01595590012859 5.85356735002039 6.3092704109189 6.12155276471993 6.00223919689446 6.08775522259335 5.95196515963236 6.04579840873744 5.89936368025103 5.90370661553044 5.99186441402269 6.05402110346747 6.21280154633821 5.84662293195687 5.81963228294371 6.34355364429102 5.90377183166748 6.00492089143642 5.85164418532021 5.81450724022423 5.83546286160724 5.82599594045495 5.93886836602411 5.88075833342413 6.00212476199385 5.99594057900105 6.14753188041018 5.90665557210397 6.10594948557049 5.93982520048519 6.09877611726069 6.00954226959163 6.17355354334422 5.97047316194146 6.37640041366886 5.93613801702344 6.05677279856004 5.80989876683773 5.82831741412219 6.02192767894181 6.19294164364631 5.77513070746322 6.10451206704909 6.07852980409558 6.16779766677067 6.16092885801524 6.01351301760257 6.06961385913045 6.03985740895282 6.20934264432951 6.1461939512038 6.07883766219142 6.08454567204893 5.85093466875742 6.01770095770585
"13" 8.62051425953715 9.44344603526684 8.62386110564945 8.97636828357234 8.61649280257988 8.30690886363587 8.93425427093166 8.58379712221818 8.47709109987056 8.93283034773301 8.4298927439943 9.07951912881806 8.8703527265393 9.03866060224521 8.81247606229663 9.32966774640557 8.69799339992487 8.4965915436707 8.82101802821413 9.20027465718296 8.47611469160068 8.81300978655489 8.84496842707778 9.04549699546667 8.98466841174335 8.82455198468786 8.70706954593388 8.88470930685027 8.60322058354275 9.03375085204108 8.65382379714785 8.41627979624898 8.96106390607096 9.18814533675336 7.96460364263065 9.05448472574537 8.92230881341091 8.74069881358943 8.5778369203913 8.40155186044747 8.80833144776842 9.11959656189569 8.88478010140358 8.82918398896963 9.2993654413779 8.67974375510026 9.14522403552274 8.49186078064111 8.75479479027027 8.49058544242462 8.44787770577782 8.88453984483412 8.73842725860159 10.0503083996635 8.75273784295753 8.88509986743536 9.1363095067232 9.12361023273487 9.29630226515746 8.62750044524915
"14" 5.96341503713195 6.0014788037578 5.97482513932785 5.76150232858796 5.91005201950654 5.87573320471927 5.81211588451541 5.74441643690798 5.92380977676418 6.08364784801157 5.87963963864243 5.84319520493706 6.08401588617324 5.88992238430552 5.95067388285772 5.73844898233697 5.90762170783643 6.04343971597924 5.62685099232705 5.93254555097811 5.94610761882428 5.77176043749369 5.93834895947407 5.75651773983454 5.84538899195801 5.91269573039438 5.9904840038732 6.29197513638433 5.75557763055042 5.64517900499787 6.02337185769962 6.59963419011415 5.93127386670591 5.94745775392736 5.81410090489741 5.73072349539322 5.94071556575619 5.72282904045494 5.99010782500827 6.12617763039489 6.0453668468017 5.89571927789007 5.92411511934931 6.01641596521761 5.85291934218845 6.20530514854044 5.82313787881851 5.98530958504804 5.82913507440219 6.43437601044583 5.89215009972834 6.05599497916766 6.3565648918192 5.83042260689665 5.89973934971046 5.95705664199176 5.83669888753344 6.09057585160557 5.98369489664435 5.99903018445043
"15" 10.0015563248344 10.3936514169179 10.1823887469417 9.82444298368919 10.2915097627619 10.8516689887111 10.5311356050675 9.68357978106125 9.26465357991644 9.89987187891339 8.87878729488651 10.0149064195705 10.2448567117134 10.2397684804525 10.0868304408471 9.42254008404817 10.2045442974781 10.5154738605158 10.2277762442624 9.86598457426338 9.51514917057705 9.8705898255404 10.0206861777463 9.95923792413279 10.3385626173995 9.29091219575016 10.6217964852845 10.0222915439577 9.88335305916264 9.67146949219647 10.2740520261623 10.1520556486861 9.80583059423739 9.58614923015808 10.0827853097466 9.69264066391645 9.88693576484268 10.3373662007329 9.84992342990129 10.4714577179323 10.1551467728993 9.81785930114988 10.0158044822365 9.17259728321454 9.7520791166006 9.99931140218226 9.89721479129915 10.7757627706283 9.92716004415259 9.66793847449244 10.4583027298089 10.3477941051895 9.79280587238279 10.290942292534 10.4639956744089 10.5350934239311 9.90364927613545 9.85520215554819 10.050904017947 9.77090521808043
"16" 6.31452649548905 6.22546797470002 5.9784573939637 6.24586115400586 6.07005065657337 6.0562613051671 6.12152073597861 6.03335153936758 6.01264933047358 6.27794285326602 5.98880521034642 6.07372384005385 6.15562185688107 6.12742317723355 6.03906252646649 6.18133751983973 5.96923435663398 6.21959813359213 6.05687295579192 5.85891761083127 6.22191042255272 5.7358098043199 6.12369184140346 6.0229772447692 6.31910043454326 6.20098036865553 6.16260644137299 6.10763400210366 6.19210584629638 6.4841690231716 6.23757103085534 6.35065541441188 6.10033633149214 6.13839388113541 6.06740301720534 6.2486418780285 6.0298419080959 6.4388273625248 6.18637674906954 6.09562081402979 6.0729860919159 6.11465461916802 6.04084531563035 6.29730558015448 5.93497127439838 6.04744271892184 5.97910696939798 6.1998048503157 6.42835923058499 6.05514793295374 5.78505391917518 6.10625115869638 5.91733946936411 6.07365286211425 5.91701568166209 6.13356796432165 6.19820809617908 5.92637558441544 6.14328521408371 6.21165143053649
"17" 11.1030035742737 11.3212691063889 11.4518705527504 11.2095700563436 11.1253774698963 10.8348848341612 11.5145314183516 11.1145814795348 11.0700299891795 11.3334402202785 11.2195732547162 11.7184538075922 11.3031333299868 10.971046676315 11.3530311806283 11.0464363071069 11.6393151918549 11.0060035086972 11.2499632466593 11.2270017996011 11.1907267441849 11.7194278631591 11.2915713486553 11.4836051627004 11.637138322589 11.4907909854687 11.3066944601035 11.3081638930784 11.6147318580647 11.5020116561167 11.5193353870846 11.3559669193615 11.6158214176895 10.8492143481064 11.0736910372626 11.551651001048 11.3325771089365 11.0307204115184 10.9703161503161 11.1003756141197 11.3847986578598 11.2828148297907 11.4466927205145 10.8887665109141 11.3265215259652 11.0533725461225 11.5195141558394 11.5364826869642 11.6137292821455 10.9064338657541 11.4636760759215 11.877064898394 11.2237944705073 12.0975013641051 11.4380197343788 11.64237513641 11.608984128317 11.386873561778 11.2163855148834 11.3378332929674
"18" 6.10675744148808 5.92632386643926 5.98701086753243 5.86804332379647 5.94693940823096 5.95192966255869 6.09213299840071 5.88111748860755 6.03480337885499 5.93590029740718 5.96500715504942 5.97798567765312 5.93106244823393 5.95713742335477 5.92116683003317 5.96100603329905 6.07343572476487 6.07190573526292 5.97421645536526 5.6921271975117 5.84538237100626 5.88725676713888 5.99434114021642 5.89788627830437 5.70184035395902 6.134052038575 5.9557077633893 6.18155097116811 5.82760965035317 5.83907751698429 5.9304845539236 5.87301110651458 6.1184039707939 6.05587815886463 6.31783349670556 5.91457291291352 5.93810173416816 5.9866803431769 6.00574828431605 6.05319825143489 6.15959717509456 5.69678460410899 5.98536744827193 8.2042590991981 5.96345790827153 6.04787864378223 5.82867565200229 6.05766379180423 5.8210086762156 6.04772798482232 5.83553076565569 5.76671144479134 6.03025947505391 6.04086780209332 6.00400732632619 5.97227570804697 5.82122797977146 5.81706413245581 5.88101400392559 6.04740101106096
"19" 8.96841372163814 9.6197295530178 9.04896692388357 8.74782442333572 9.42258432823338 10.1705084212337 9.86076159794137 8.6151270167792 8.3765897156042 9.13862215254674 8.32283938010344 9.05527012428426 9.17320649920385 9.3356439520264 8.71200193489859 8.96258434862386 8.96762957877473 8.82274788149618 9.27481166592156 9.12656740376735 8.70508779945595 9.45259261628802 8.61611588158904 8.57230233961748 9.4193507994061 8.541841165879 8.73907945320671 8.69754973189709 9.49287716802206 9.47923951446666 9.23197790334179 9.02283086741071 8.97500793890922 9.16918398182609 9.05999941599084 8.69437638715666 8.88793273077808 8.53653856134093 8.55825822138496 8.68624632406301 8.28353106676142 8.95303253946402 8.37050366285971 8.7240861669166 8.62943558967168 8.5428081037078 9.61595414130289 9.79335001060365 9.50539272804778 8.39182736022091 9.47431759033378 9.26481475109303 8.55526152456328 9.43652080469539 9.11161952184674 9.2112242335318 9.58106695761626 8.60444136243695 8.73193228214005 8.88786528289615
"20" 8.79099766414752 9.73486899807919 8.89808335830098 8.72172239801103 9.46836092692256 10.3401078732582 9.60857677238317 8.94279455080934 8.90920733334277 8.9683245473009 8.74567972361882 9.52219585386383 9.39714655875981 9.31012548814962 9.09047293838253 9.39620760962748 9.43824393837743 9.1682810060431 9.27529436595879 9.27828021262487 9.18286492450941 9.22784801577305 9.06823618022522 9.34930187769616 9.42169295822472 8.5972019245599 9.28796283401683 9.71024398593843 9.41483704237467 8.92728092026886 8.94035998709099 9.40584954951606 9.66279288396771 9.48140016061936 9.24914383869145 9.0472919235806 8.99848117139529 9.10071742727281 8.84640318928253 9.21640982537622 8.69834907389234 9.02031625266903 8.66416291689386 9.19355139234416 8.76841912129212 10.122672381301 9.35083242401294 9.39901274033171 9.42523667020365 9.31875096573363 9.21190474921118 9.36025893065333 8.97147645268065 9.34421766507143 9.55906761607451 9.06279134889532 9.8359734923795 8.59284096568512 9.22219965334452 9.73146797021967
